Product,RM Code,RM Desc, Qty ,Avg Speed ,Width,Production Line
B-TFF-020.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP/ IOCL,809,,,FCB: Line-3 (BOPP)
B-TFF-020.0-XX-J,RM3300015,POLYPROPYLENE - ELTEX PKS 607(BOPP),26,,,FCB: Line-3 (BOPP)
B-TFF-020.0-XX-J,RM3300049,POLYPROPYLENE - COSMOPLENE FS5612L,42,,,FCB: Line-3 (BOPP)
B-TFF-020.0-XX-J,RM3300004,POLYPROPYLENE - ADSYL 5C 39F,94,,,FCB: Line-3 (BOPP)
B-TFF-020.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),6,,,FCB: Line-3 (BOPP)
B-TFF-020.0-XX-B,,,"1,000",390,6.75,
B-THF-015.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP,897,,,FCB: Line-3 (BOPP)
B-THF-015.0-XX-J,RM3300280,POLYPROPYLENE - COSMOPLENE 5714,50,,,FCB: Line-3 (BOPP)
B-THF-015.0-XX-J,RM3300015,POLYPROPYLENE - ELTEX PKS 607(BOPP),26,,,FCB: Line-3 (BOPP)
B-THF-015.0-XX-J,RM3300004,POLYPROPYLENE - ADSYL 5C 39F,25,,,FCB: Line-3 (BOPP)
B-THF-015.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),2,,,FCB: Line-3 (BOPP)
B-THF-015.0-XX-B,,,"1,000",385,6.75,
B-THF-017.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP,909,,,FCB: Line-3 (BOPP)
B-THF-017.0-XX-J,RM3300280,POLYPROPYLENE - COSMOPLENE 5714,44,,,FCB: Line-3 (BOPP)
B-THF-017.0-XX-J,RM3300015,POLYPROPYLENE - ELTEX PKS 607(BOPP),23,,,FCB: Line-3 (BOPP)
B-THF-017.0-XX-J,RM3300004,POLYPROPYLENE - ADSYL 5C 39F,22,,,FCB: Line-3 (BOPP)
B-THF-017.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),2,,,FCB: Line-3 (BOPP)
B-THF-017.0-XX-B,,,"1,000",395,6.75,
B-THF-018.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP,914,,,FCB: Line-3 (BOPP)
B-THF-018.0-XX-J,RM3300280,POLYPROPYLENE - COSMOPLENE 5714,42,,,FCB: Line-3 (BOPP)
B-THF-018.0-XX-J,RM3300015,POLYPROPYLENE - ELTEX PKS 607(BOPP),22,,,FCB: Line-3 (BOPP)
B-THF-018.0-XX-J,RM3300004,POLYPROPYLENE - ADSYL 5C 39F,21,,,FCB: Line-3 (BOPP)
B-THF-018.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),2,,,FCB: Line-3 (BOPP)
B-THF-018.0-XX-B,,,"1,000",405,6.75,
B-THH-018.0-XX-J,RM3300015,POLYPROPYLENE - ELTEX PKS 607(BOPP),40,,,FCB: Line-3 (BOPP)
B-THH-018.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP/ IOCL,894,,,FCB: Line-3 (BOPP)
B-THH-018.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),1,,,FCB: Line-3 (BOPP)
B-THH-018.0-XX-J,RM3300004,POLYPROPYLENE - ADSYL 5C 39F,27,,,FCB: Line-3 (BOPP)
B-THH-018.0-XX-J,RM3300049,POLYPROPYLENE - COSMOPLENE FS5612L,38,,,FCB: Line-3 (BOPP)
B-THH-018.0-XX-B,,Not Produced now),"1,000",410,6.75,
B-THL-018.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),0,,,FCB: Line-3 (BOPP)
B-THL-018.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP/ IOCL,897,,,FCB: Line-3 (BOPP)
B-THL-018.0-XX-J,RM3300015,POLYPROPYLENE - ELTEX PKS 607(BOPP),24,,,FCB: Line-3 (BOPP)
B-THL-018.0-XX-J,RM3500075,POLYPROPELENE - COEXAS 2 (PP),7,,,FCB: Line-3 (BOPP)
B-THL-018.0-XX-J,RM3500004,POLYPROPYLENE - ABVT 22 SC,2,,,FCB: Line-3 (BOPP)
B-THL-018.0-XX-J,RM3300165,TAFMER XM7070S,3,,,FCB: Line-3 (BOPP)
B-THL-018.0-XX-J,RM3300004,POLYPROPYLENE - ADSYL 5C 39F,68,,,FCB: Line-3 (BOPP)
B-THL-018.0-XX-B,,,"1,000",410,6.75,
B-THL-020.0-XX-J,RM3300015,POLYPROPYLENE - ELTEX PKS 607(BOPP),24,,,FCB: Line-3 (BOPP)
B-THL-020.0-XX-J,RM3000040,POLYPROPYLENE - PROPEL 1030FG - PP/ IOCL,897,,,FCB: Line-3 (BOPP)
B-THL-020.0-XX-J,RM3300165,TAFMER XM7070S,3,,,FCB: Line-3 (BOPP)
B-THL-020.0-XX-J,RM3500004,POLYPROPYLENE - ABVT 22 SC,2,,,FCB: Line-3 (BOPP)
B-THL-020.0-XX-J,RM3500075,POLYPROPELENE - COEXAS 2 (PP),7,,,FCB: Line-3 (BOPP)
B-THL-020.0-XX-J,RM3500099,POLYPROPYLENE - SKIBLOCK 10 (PP),1,,,FCB: Line-3 (BOPP)
B-THL-020.0-XX-J,RM3300004,POLYPROPYLENE - ADSYL 5C 39F,68,,,FCB: Line-3 (BOPP)
B-THL-020.0-XX-B,,,"1,000",390,6.75,
B-THL-025.0-XX-J,RM3500004,POLYPROPYLENE - ABVT 22 SC,2,,,FCB: Line-3 (BOPP)
B-THL-025.0-XX-J,RM3300004,POLYPROPYLENE - ADSYL 5C 39F,71,,,FCB: Line-3 (BOPP)
